Company,Location,Title,Salary
Ottawa Salus,Ottawa ON,Database Analyst,15860
AppleOne,None,Junior Data Analyst,19250
truLOCAL,None,Data Analyst (Remote,25000
Provincial Health Services Authority,None,Inventory Business Analyst,25916
YouthLink,None,Data Analyst & Research,28106
SAGE - Fox Marin Associates Ltd.,None,Fox Marin - Freelance Real Estate & Business Analyst,31200
Insignia College,Delta BC,analyst database,33280
The Workers' Compensation Board,Edmonton AB,Business Analyst I-II,34206
Dynamic Endoscopy & Speciality Care,St. Catharines ON,database analyst,35360
Powernode Computer Inc.,Markham ON,database analyst,36400
PHSA,Vancouver BC,Information Data Analyst,37429
VidCruiter,Montréal QC,Marketing Data Analyst,37500
Power Grid Innovations,Coquitlam BC,analyst information technology (IT,40560
BITTS International Career College,Mississauga ON,database analyst,41600
RecallMax,None,Software UI Designer/ Data Analyst,46800
ZN Advisory Services Inc.,Vancouver BC,Management Analyst,46800
TECHSUPPORT.CA CORP,None,Data Analyst,50000
Blue Door Supportive Services,None,Data Analyst,50000
Blue Door Supportive Services,None,Data Analyst,50000
TECHSUPPORT.CA CORP,None,Data Analyst,50000
Wave Mobile Inc. O/A Freedom Mobile.,None,Reporting Analyst,50000
AppleOne,None,Senior Data Analyst,53650
AppleOne,None,Senior Data Analyst,53650
Canadian Mental Health Association,None,Data Analyst (Remote,57678
Canadian Mental Health Association,None,Data Analyst (Remote,57678
roomvu,Vancouver BC,Database Analyst,62400
Manitoba Government,Winnipeg MB,Business Analyst,64500
Manitoba Government,Winnipeg MB,Business Analyst,64500
University of Alberta,Edmonton AB,Data Analyst,64641
Surrey Place,Toronto ON,Data Analyst,65572
Surrey Place,Toronto ON,Data Analyst,65572
National Defence,Victoria BC,Geomatics Analyst - Inventory Process,66323
Fisheries and Oceans Canada,Ottawa ON,Business and Planning Analyst,68084
Government of Alberta,Edmonton AB,Business Intelligence Analyst,72510
Canadian Mental Health Association- Peel Branch,Brampton ON,Information and Improvement Analyst,72700
Public Service Commission of Canada,Canada,Policy and Data Analyst - Careers for Persons with Disabilit...,77619
Natural Resources Canada,Ottawa ON,Compliance Analyst,79950
City of Regina,Regina SK,Policy Analyst,85072
BC Transit,Victoria BC,Senior Data Analyst - Work Lead,88668
Government of Saskatchewan,Regina SK,Senior Business Analyst,94598
Global Intelligence Inc.,None,Senior Analyst - OSINT Investigations,95000
Natural Resources Canada,Ottawa ON,Policy & Compliance Analyst,95308
Swoon Group,None,Agile Data Business Analyst,100880
Swoon Group,None,Agile Data Business Analyst,100880
City of Barrie,Barrie ON,Fleet Analyst,104156
CorGTA Inc.,None,Data Business Analyst - SQL - Banking - 60.00 p/h contract...,119600
Dempton Services Professionnels,Montréal QC,analyst computer,122500
TELUS International Inc.,Edmonton AB,Data Analyst/Engineer,161200
Scandinavian Building Services,None,Data & Reports Analyst,62503
AIR MILES,None,Analytics & Insights Analyst,62503
"Tyler Technologies, Inc.",None,Data Analyst,62503
Benevity,None,Insights Analyst,62503
Autodesk,"Montréal, QC","Intern, Data Analyst - EMS",62503
The University of Calgary,"Calgary, AB","Summer Analyst/Intern, Innovate Calgary",62503
Mastronardi Produce Limited,"Kingsville, ON",Crop Data Analyst,62503
Best Buy,Canada,Data Analyst – Voice of Customer,62503
Smith & Nephew,"Mississauga, ON",Inventory and Data Analyst,62503
WestJet,"Calgary, AB",Senior Data Analyst,62503
AutoCanada Inc.,None,Visualization Analyst,62503
Yelp,"Toronto, ON",Data Science Analyst (Remote),62503
Mastronardi Produce Limited,"Kingsville, ON",Crop Data Analyst,62503
WestJet,"Calgary, AB","Analyst, Data & Analytics",62503
Bowen Group,None,DATA ANALYST,62503
Citco,"Halifax, NS",Operations Analyst - Corporate Actions,62503
Trillium Health Partners,"Mississauga, ON","Senior Data Analyst, Oncology PRCC",62503
Celtx Inc,"St. John's, NL",Data Analyst,62503
fusionSpan,Remote,Data Analyst,62503
Regional Municipality of Peel,Ontario,"Analyst, Community Investment",62503
Emera Nova Scotia,"Halifax, NS",Business Analyst,62503
Motoinsight,Remote,Data Support Analyst,62503
RBC,"Toronto, ON","Data Analyst, Portfolio Engineering",62503
The Co-operators,"Quebec City, QC",BI Analyst III - Developer,62503
Heart & Stroke,Remote,IT Data Analyst,62503
TELUS,Canada,TELUS Fall Coop/Student Position: Business Analyst I – TELUS...,62503
None,None,None,62503
None,None,None,62503
None,None,None,62503
None,None,None,62503
None,None,None,62503
None,None,None,62503
None,None,None,62503
None,None,None,62503
None,None,None,62503
None,None,None,62503
None,None,None,62503
None,None,None,62503
None,None,None,62503
None,None,None,62503
None,None,None,62503
